Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Cable One-Arm Reverse Curl;Forearm;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up a handle on a low pulley cable machine and grabbing the handle with one hand with your elbow rested at your side. 2.) Keeping your body straight, slowly elevate the handle up towards your shoulders, squeezing your forearms and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Reverse Fly;Shoulders;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up a low cable pulley machine with a cable attachment and standing to the side of the machine with feet shoulder width apart. 2.) Bend down at your knees, keeping your back parallel with the floor, bringing your opposite arm holding the cable in front of your body and this will be your starting position. 3.) Slowly elevate your arm up and out, squeezing your shoulders until the handle reaches head level and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Reverse Grip Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by placing a handle on a low cable pulley machine and putting a flat bench in front of the machine. 2.) Stand up straight with your back facing the machine, grabbing the handle with one hand and extending it over your head, as this will be your starting position. 3.) Slowly lower the weight behind your head, squeezing your tricep and holding for a count. 4.) Return back to the starting position.
Cable One-Arm Rotational Row;Back;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start off by standing in front of a low pulley cable machine with a handle attached to the machine. 2.) Grab the handle with one of your hands and slowly start to pull the weight towards your side, twisting your arm in the process to form an underhand grip. 3.) Once you feel a stretch in your lower back, squeeze and hold for a count, then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Row;Back;null;Biceps , Shoulders;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start by setting up a handle on a low pulley cable machine and grab the handle with one hand in an overhand grip. 2.) Keep your knees slightly bent and back straight, then pull the handle in towards your side, squeezing with your back and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Seated Row;Back;null;Biceps , Triceps;Strength;Compound;Machine - Strength;Beginner;Steps : 1.) Start off sitting on the floor or on bench facing a low pulley seated cable row. 2.) Keep your body straight up and feet positioned on the foot rests in front of you. 3.) Grab the handle attached to the machine with an overhand grip and slowly pull back towards your side twisting with your wrists. 4.) Squeeze your back muscles as you pull in and hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired.
Cable One-Arm Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;The cable one arm tricep extension exercise isolates the tricep muscles individually and helps build bigger arms. Steps : 1.) Start off by placing a cable pulley on the highest setting and adjust a stirrup handle to the pulley. 2.) Stand facing the weight stack and grasp the handle with and underhand grip. 3.) Keep your back straight, your abs drawn in and your knees slightly bent. 4.) Starting at the top push your arm down until it is straight, feeling the concentration and stretch in your tricep muscle. 5.) Slowly return to starting position. 6.) Repeat for as many reps and sets as desired.
Cable One-Arm Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up a low cable pulley machine with a handle, then grab the handle and extend it above your head while turning away from the machine. 2.) Keep your palm facing away from the machine and then lower the weight back behind your head, squeezing your tricep and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Tricep Extension;Triceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;The standing one arm low-pulley triceps extension exercise uses a cable machine to target and isolate the tricep muscles Steps : 1.) Start by attaching a handle to a low cable pulley machine and standing with your back to the weight stack, and your feet shoulder width apart. 2.) With your left hand, reach behind you and grasp the handle. 3.) Place your right hand on your left elbow for support. 4.) Extend your left arm straight up towards the ceiling and then lower it to the starting position. 5.) Repeat and switch arms.
Cable One-Arm Tricep Extension (Reverse Grip);Triceps;null;null;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by setting up a handle on a high cable pulley machine, then face the machine and grab the handle with an underhand grip. 2.) Pull down so that your elbow is tucked in at your side and hand is around chest level, then slowly extend your arm down as far as possible, squeezing your tricep and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable One-Arm Tricep Pushdown;Triceps;null;Shoulders;Strength;Isolation;Machine - Strength;Beginner;Steps : 1.) Start by standing in front of a cable pulley machine grasping a handle with an overhand grip. 2.) Slowly extend your arm down, keeping your elbow at your side, until your forearm and hand reaches your upper thigh. 3.) Squeeze with your triceps for a count, then return back up to the starting position. 4.) Repeat for as many reps and sets as desired.
Cable Overhead Curl;Biceps;null;null;Strength;Isolation;Machine - Strength;Beginner;The overhead cable curl exercise helps isolate and define the biceps. Steps : 1.) Start off by attaching a stirrup handle to each side of two high pulley cable machines and grab the handles with an under-hand grip (palms up), standing in between the machines with your feet shoulder width apart as this will be your starting position. 2.) Once in position extend your arms out to your sides, keeping your elbows steady and then slowly curl your biceps towards the side of your head, isolating and squeezing the biceps. 3.) Hold this position for a count while squeezing your biceps and then return back to the starting position.
Cable Overhead Curl (Stability Ball);Biceps;null;null;Strength;Isolation;Machine - Strength;Intermediate;Steps : 1.) Start by setting up handles on two cable pulley machines and placing an exercise ball in between the machines. 2.) Place the handles in a position where it is at shoulder level when you sit down on the exercise ball. 3.) Grab the handles with an underhand grip and sit down on the exercise ball, keeping your body straight up, and arms extended out towards your sides. 4.) Slowly curl the cables up towards your head, isolating the biceps, and squeeze. 5.) Hold for a count then return back to the starting position. 6.) Repeat for as many reps and sets as desired.
